,,PROGRESSIVO,,,,,,,,,,GIUGNO,,,,,,,,,,PREVISIONI DI FINE ANNO,,,,,,,,,,,,
SPESE COMMERCIALI,,14.146 ,,8%,10.499 ,,33%,3.647 ,"34,7%",,,387 ,,2%,388 ,,1%,-1 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
Beni indeducibili,,2.236 ,,"1,2%",2.755 ,,,-518 ,"-18,8%",,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Beni indeducibili,Altre spese di funzionamento
Spese generali,,22.311 ,,"12,0%",2.388 ,,,19.923 ,"834,4%",,,106 ,,,22 ,,,84 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Spese generali,Altre spese di funzionamento
Materiale vario e di consumo,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Materiale vario e di consumo,Altre spese di funzionamento
Spese di pulizia,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Spese di pulizia,Altre spese di funzionamento
Utenze,,545 ,,"0,3%",392 ,,,154 ,"39,3%",,,107 ,,,-45 ,,,152 ,,,,,,,,,,,,,,,Utenze,Altre spese di funzionamento
Assicurazioni,,0 ,,"0,0%",90 ,,,-90 ,"-100,0%",,,0 ,,,90 ,,,-90 ,,,,,,,,,,,,,,,Assicurazioni,Altre spese di funzionamento
Rimanenze,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,,,,,,,,,,,,Rimanenze,Altre spese di funzionamento
Tasse e valori bollati,,568 ,,"0,3%",597 ,,,-29 ,"-4,8%",,,8 ,,,0 ,,,8 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Tasse e valori bollati,Altre spese di funzionamento
Sanzioni e multe,,109 ,,"0,1%",23 ,,,86 ,"384,2%",,,31 ,,,23 ,,,9 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Sanzioni e multe,Altre spese di funzionamento
Compensi amministratore,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Compensi amministratore,Compensi amministratore
Rimborsi amministratore,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Rimborsi amministratore,Rimborsi amministratore
Personale,,109.029 ,,"58,5%",68.693 ,,,40.336 ,"58,7%",,,23.795 ,,,18.757 ,,,5.038 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Personale,Personale
Servizi amministrativi contabilità,,10.605 ,,"5,7%",9.520 ,,,1.084 ,"11,4%",,,1.026 ,,,2.162 ,,,-1.136 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi amministrativi contabilità,Servizi contabili e paghe
Servizi amministrativi paghe,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi amministrativi paghe,Servizi contabili e paghe
Consulenze tecniche,,26.854 ,,"14,4%",42.973 ,,,-16.119 ,"-37,5%",,,1.000 ,,,948 ,,,52 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Consulenze tecniche,Consulenze tecniche
Consulenze legali,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Consulenze legali,Consulenze legali
Locazioni e noleggi,,5.686 ,,"3,0%",2.880 ,,,2.806 ,"97,4%",,,726 ,,,510 ,,,216 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Locazioni e noleggi,Altre spese di funzionamento
Servizi indeducibili,,956 ,,"0,5%",5.161 ,,,-4.205 ,"-81,5%",,,0 ,,,750 ,,,-750 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi indeducibili,Altre spese di funzionamento
Utili e perdite su cambi,,513 ,,"0,3%",100 ,,,413 ,"415,1%",,,0 ,,,24 ,,,-24 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Utili e perdite su cambi,Altre spese di funzionamento
Perdite su crediti,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Perdite su crediti,Altre spese di funzionamento
Licenze d'uso,,0 ,,"0,0%",1.365 ,,,-1.365 ,"-100,0%",,,0 ,,,1.365 ,,,-1.365 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Licenze d'uso,Altre spese di funzionamento
Utenze telefoniche e cellulari,,164 ,,"0,1%",1.031 ,,,-867 ,"-84,1%",,,31 ,,,171 ,,,-141 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Utenze telefoniche e cellulari,Altre spese di funzionamento
Altri oneri,,3.094 ,,"1,7%",1.088 ,,,2.006 ,"184,4%",,,90 ,,,0 ,,,90 ,,,,,,,,,,,,,,,Altri oneri,Altre spese di funzionamento
Abbuoni e arrotondamenti,,12 ,,"0,0%",1 ,,,12 ,"1970,0%",,,2 ,,,0 ,,,2 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Abbuoni e arrotondamenti,Altre spese di funzionamento
SPESE DI STRUTTURA,,182.683 ,,98%,139.055 ,,434%,43.628 ,"31,4%",,,26.922 ,,108%,24.777 ,,82%,2.145 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
TOTALE GESTIONE STRUTTURA E NON TIPICA,,196.829 ,,106%,149.554 ,,466%,47.275 ,"31,6%",,,27.309 ,,-109%,25.165 ,,84%,2.144 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
EBITDA,,-22.632 ,,-12%,-123.919 ,,-386%,101.287 ,"-81,7%",,,-3.485 ,,-14%,4.018 ,,13%,-7.753 ,,,,#ERROR!,,#ERROR!,#REF!,,n/a,#ERROR!,,#ERROR!,,,,
Ammortamenti immateriali,,25.702 ,,"13,8%",0 ,,,25.702 ,#DIV/0!,,,4.253 ,,,0 ,,,4.253 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Ammortamenti immateriali,Ammortamenti e svalutazioni
Ammortamenti materiali,,425 ,,"0,2%",0 ,,,425 ,#DIV/0!,,,70 ,,,0 ,,,70 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Ammortamenti materiali,Ammortamenti e svalutazioni
Svalutazioni e accantonamenti,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Svalutazioni e accantonamenti,Ammortamenti e svalutazioni
"AMMORTAMENTI, ACCANT. SVALUTAZIONI",,26.127 ,,"14,0%",0 ,,,26.127 ,#DIV/0!,,,4.323 ,,17%,0 ,,0%,4.323 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
Plusvalenze e minusvalenze straordinarie,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Plusvalenze e minusvalenze straordinarie,Gestione straordinaria
Altri proventi/costi straordinari,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Altri proventi/costi straordinari,Gestione straordinaria
GESTIONE STRAORDINARIA,,0 ,,,0 ,,,0 ,,,,0 ,,0%,0 ,,0%,0 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
EBIT,,-48.759 ,,-26%,-123.919 ,,-386%,75.160 ,"-60,7%",,,-7.808 ,,-31%,4.018 ,,13%,-12.076 ,,,,#ERROR!,,#ERROR!,#REF!,,n/a,#ERROR!,,#ERROR!,,,,
Spese e commissioni bancarie,,139 ,,"0,1%",202 ,,,-63 ,"-31,0%",,,6 ,,,9 ,,,-3 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Spese e commissioni bancarie,Gestione finanziaria
Interessi passivi su mutui,,913 ,,"0,5%",1.047 ,,,-134 ,"-12,8%",,,140 ,,,252 ,,,-112 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Interessi passivi su mutui,Gestione finanziaria
Altri interessi,,106 ,,"0,1%",625 ,,,-519 ,"-83,1%",,,48 ,,,0 ,,,48 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Altri interessi,Gestione finanziaria
GESTIONE FINANZIARIA,,1.158 ,,"0,6%",1.874 ,,6%,-715 ,"-38,2%",,,195 ,,1%,261 ,,1%,-66 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
EBT,,-49.917 ,,"-26,8%",-125.793 ,,-392%,75.876 ,"-60,3%",,,-8.003 ,,-32%,3.757 ,,12%,-12.010 ,,,,#ERROR!,,#ERROR!,#REF!,,n/a,#ERROR!,,#ERROR!,,,,
Imposte dirette,,0 ,,,0 ,,,0 ,,,,0 ,,0%,0 ,,0%,0 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,n/a,,,Imposte dirette,Imposte
RISULTATO DELL'ESERCIZIO,,-49.917 ,,-27%,-125.793 ,,-392%,75.876 ,,,,-8.003 ,,-32%,3.757 ,,12%,-12.010 ,,,,#ERROR!,,#ERROR!,#REF!,,n/a,#ERROR!,,n/a,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,#ERROR!,,,#REF!,,,#ERROR!,,,,,,
