,,PROGRESSIVO,,,,,,,,,,LUGLIO,,,,,,,,,,PREVISIONI DI FINE ANNO,,,,,,,,,,,,
SPESE COMMERCIALI,,14.971 ,,7%,13.074 ,,41%,1.897 ,"14,5%",,,825 ,,2%,2.575 ,,n/a,-1.750 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
Beni indeducibili,,2.182 ,,"0,9%",2.891 ,,,-709 ,"-24,5%",,,-54 ,,,136 ,,,-190 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Beni indeducibili,Altre spese di funzionamento
Spese generali,,22.311 ,,"9,7%",2.622 ,,,19.689 ,"750,9%",,,0 ,,,234 ,,,-234 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Spese generali,Altre spese di funzionamento
Materiale vario e di consumo,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Materiale vario e di consumo,Altre spese di funzionamento
Spese di pulizia,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Spese di pulizia,Altre spese di funzionamento
Utenze,,707 ,,"0,3%",476 ,,,231 ,"48,5%",,,162 ,,,84 ,,,77 ,,,,,,,,,,,,,,,Utenze,Altre spese di funzionamento
Assicurazioni,,171 ,,"0,1%",261 ,,,-90 ,"-34,6%",,,171 ,,,171 ,,,0 ,,,,,,,,,,,,,,,Assicurazioni,Altre spese di funzionamento
Rimanenze,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,,,,,,,,,,,,Rimanenze,Altre spese di funzionamento
Tasse e valori bollati,,577 ,,"0,3%",622 ,,,-45 ,"-7,3%",,,8 ,,,25 ,,,-17 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Tasse e valori bollati,Altre spese di funzionamento
Sanzioni e multe,,143 ,,"0,1%",23 ,,,121 ,"536,3%",,,34 ,,,0 ,,,34 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Sanzioni e multe,Altre spese di funzionamento
Compensi amministratore,,0 ,,"0,0%",25.609 ,,,-25.609 ,"-100,0%",,,0 ,,,25.609 ,,,-25.609 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Compensi amministratore,Compensi amministratore
Rimborsi amministratore,,0 ,,"0,0%",2.955 ,,,-2.955 ,"-100,0%",,,0 ,,,2.955 ,,,-2.955 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Rimborsi amministratore,Rimborsi amministratore
Personale,,122.992 ,,"53,5%",51.013 ,,,71.979 ,"141,1%",,,13.963 ,,,-17.680 ,,,31.643 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Personale,Personale
Servizi amministrativi contabilità,,11.591 ,,"5,0%",10.338 ,,,1.252 ,"12,1%",,,986 ,,,818 ,,,168 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi amministrativi contabilità,Servizi contabili e paghe
Servizi amministrativi paghe,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi amministrativi paghe,Servizi contabili e paghe
Consulenze tecniche,,26.854 ,,"11,7%",47.269 ,,,-20.415 ,"-43,2%",,,0 ,,,4.296 ,,,-4.296 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Consulenze tecniche,Consulenze tecniche
Consulenze legali,,1.794 ,,"0,8%",0 ,,,1.794 ,#DIV/0!,,,1.794 ,,,0 ,,,1.794 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Consulenze legali,Consulenze legali
Locazioni e noleggi,,6.509 ,,"2,8%",3.640 ,,,2.869 ,"78,8%",,,823 ,,,760 ,,,63 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Locazioni e noleggi,Altre spese di funzionamento
Servizi indeducibili,,956 ,,"0,4%",4.734 ,,,-3.777 ,"-79,8%",,,0 ,,,-427 ,,,427 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi indeducibili,Altre spese di funzionamento
Utili e perdite su cambi,,513 ,,"0,2%",113 ,,,400 ,"354,3%",,,1 ,,,13 ,,,-13 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Utili e perdite su cambi,Altre spese di funzionamento
Perdite su crediti,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Perdite su crediti,Altre spese di funzionamento
Licenze d'uso,,0 ,,"0,0%",1.365 ,,,-1.365 ,"-100,0%",,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Licenze d'uso,Altre spese di funzionamento
Utenze telefoniche e cellulari,,195 ,,"0,1%",1.112 ,,,-917 ,"-82,5%",,,31 ,,,82 ,,,-51 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Utenze telefoniche e cellulari,Altre spese di funzionamento
Altri oneri,,3.288 ,,"1,4%",1.187 ,,,2.102 ,"177,1%",,,195 ,,,99 ,,,96 ,,,,,,,,,,,,,,,Altri oneri,Altre spese di funzionamento
Abbuoni e arrotondamenti,,12 ,,"0,0%",1 ,,,11 ,"980,0%",,,0 ,,,1 ,,,-1 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Abbuoni e arrotondamenti,Altre spese di funzionamento
SPESE DI STRUTTURA,,200.796 ,,87%,156.232 ,,487%,44.564 ,"28,5%",,,18.113 ,,42%,17.176 ,,n/a,936 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
TOTALE GESTIONE STRUTTURA E NON TIPICA,,215.767 ,,94%,169.306 ,,528%,46.461 ,"27,4%",,,18.938 ,,-43%,19.752 ,,n/a,-814 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
EBITDA,,-61 ,,0%,-144.193 ,,-450%,144.132 ,"-100,0%",,,22.571 ,,52%,-20.274 ,,n/a,43.345 ,,,,#ERROR!,,#ERROR!,#REF!,,n/a,#ERROR!,,#ERROR!,,,,
